class,title,local_file,commons_page,download_url,license_short,license_url,author,credit,description,width,height
500ml,File:A 500mL Bottle of Lavia Water Photographed on an iPhone.jpg,source/500ml_A_500mL_Bottle_of_Lavia_Water_Photographed_on_an_iPhone.jpg.jpg,https://commons.wikimedia.org/wiki/File:A_500mL_Bottle_of_Lavia_Water_Photographed_on_an_iPhone.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/A_500mL_Bottle_of_Lavia_Water_Photographed_on_an_iPhone.jpg/960px-A_500mL_Bottle_of_Lavia_Water_Photographed_on_an_iPhone.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Laviawikipage,Own work,A 500mL Bottle of Lavia Water Photographed on an iPhone,900,1200
500ml,File:San Pellegrino 500ml bottle.jpg,source/500ml_San_Pellegrino_500ml_bottle.jpg.jpg,https://commons.wikimedia.org/wiki/File:San_Pellegrino_500ml_bottle.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/San_Pellegrino_500ml_bottle.jpg/960px-San_Pellegrino_500ml_bottle.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Philafrenzy,Own work,San Pelligrino 500ml bottle,900,1200
500ml,File:Blue Waters bottle no label.jpg,source/500ml_Blue_Waters_bottle_no_label.jpg.jpg,https://commons.wikimedia.org/wiki/File:Blue_Waters_bottle_no_label.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Blue_Waters_bottle_no_label.jpg/960px-Blue_Waters_bottle_no_label.jpg,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,999real,Own work,A picture of a Blue Waters brand 500ml unopened water bottle with the label removed,900,675
1L,File:San Pelligrino - 1L bottle (cropped).JPG,source/1L_San_Pelligrino_-_1L_bottle_cropped_.JPG.jpg,https://commons.wikimedia.org/wiki/File:San_Pelligrino_-_1L_bottle_(cropped).JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/San_Pelligrino_-_1L_bottle_%28cropped%29.JPG/960px-San_Pelligrino_-_1L_bottle_%28cropped%29.JPG,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Marianne Casamance,Own work,Bouteille de San Pellegrino,900,1784
1L,File:1 liter glass on the line.jpg,source/1L_1_liter_glass_on_the_line.jpg.jpg,https://commons.wikimedia.org/wiki/File:1_liter_glass_on_the_line.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/1_liter_glass_on_the_line.jpg/960px-1_liter_glass_on_the_line.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Mtnvalley,Own work,MV Spring on the Line,900,1350
1.5L,File:Kirkland Signature Drinking Water 1.5L 20050508.jpg,source/1_5L_Kirkland_Signature_Drinking_Water_1.5L_20050508.jpg.jpg,https://commons.wikimedia.org/wiki/File:Kirkland_Signature_Drinking_Water_1.5L_20050508.jpg,https://upload.wikimedia.org/wikipedia/commons/6/68/Kirkland_Signature_Drinking_Water_1.5L_20050508.jpg,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,Original uploader was Jm51 at en.wikipedia,Transferred from en.wikipedia,Kirkland Signature Drinking Water 1.5L.,960,1280
1.5L,"File:Bouteille 1,5L.png",source/1_5L_Bouteille_1_5L.png.png,"https://commons.wikimedia.org/wiki/File:Bouteille_1,5L.png",https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Bouteille_1%2C5L.png/960px-Bouteille_1%2C5L.png,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,A mbi,Own work,Bouteille 1.5L nouveau décors et nouveau bouchon,900,2054
1L,File:Vilas del Turbón envase PET 1L.JPG,source/1L_Vilas_del_Turbón_envase_PET_1L.JPG.jpg,https://commons.wikimedia.org/wiki/File:Vilas_del_Turb%C3%B3n_envase_PET_1L.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Vilas_del_Turb%C3%B3n_envase_PET_1L.JPG/500px-Vilas_del_Turb%C3%B3n_envase_PET_1L.JPG,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Vilasturbonagua,Own work,Vilas del Turbón envase PET  1L,900,1200
1L,File:Vilas del turbón envase PET.JPG,source/1L_Vilas_del_turbón_envase_PET.JPG.jpg,https://commons.wikimedia.org/wiki/File:Vilas_del_turb%C3%B3n_envase_PET.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Vilas_del_turb%C3%B3n_envase_PET.JPG/960px-Vilas_del_turb%C3%B3n_envase_PET.JPG,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Vilasturbonagua,Own work,Vilas del turbón envase PET 1L,900,1200
1.5L,File:コントレックス1.5L.jpg,source/1_5L_コントレックス1.5L.jpg.jpg,https://commons.wikimedia.org/wiki/File:%E3%82%B3%E3%83%B3%E3%83%88%E3%83%AC%E3%83%83%E3%82%AF%E3%82%B91.5L.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/%E3%82%B3%E3%83%B3%E3%83%88%E3%83%AC%E3%83%83%E3%82%AF%E3%82%B91.5L.jpg/960px-%E3%82%B3%E3%83%B3%E3%83%88%E3%83%AC%E3%83%83%E3%82%AF%E3%82%B91.5L.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Takemasa Oh,Own work,コントレックス1.5L,900,3236
1.5L,File:Свалява 1.5 л.jpg,source/1_5L_Свалява_1.5_л.jpg.jpg,https://commons.wikimedia.org/wiki/File:%D0%A1%D0%B2%D0%B0%D0%BB%D1%8F%D0%B2%D0%B0_1.5_%D0%BB.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/%D0%A1%D0%B2%D0%B0%D0%BB%D1%8F%D0%B2%D0%B0_1.5_%D0%BB.jpg/960px-%D0%A1%D0%B2%D0%B0%D0%BB%D1%8F%D0%B2%D0%B0_1.5_%D0%BB.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Evhenii1995,Own work,Свалява 1.5 л,900,1348
500ml,File:8 Water 500ml Twist Cap.jpg,source/500ml_8_Water_500ml_Twist_Cap.jpg.jpg,https://commons.wikimedia.org/wiki/File:8_Water_500ml_Twist_Cap.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/8_Water_500ml_Twist_Cap.jpg/960px-8_Water_500ml_Twist_Cap.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Raval Bhandal,Own work,8 Water 500ml Still,900,1348
500ml,File:HK Soft drink pre-packed plastic bottles 維他 Vita Pure Distilled Water 500ml April 2019 SSG 01.jpg,source/500ml_HK_Soft_drink_pre-packed_plastic_bottles_維他_Vita_Pure_Distilled_Water_500ml_April_2019_SSG_01.jpg.jpg,https://commons.wikimedia.org/wiki/File:HK_Soft_drink_pre-packed_plastic_bottles_%E7%B6%AD%E4%BB%96_Vita_Pure_Distilled_Water_500ml_April_2019_SSG_01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/HK_Soft_drink_pre-packed_plastic_bottles_%E7%B6%AD%E4%BB%96_Vita_Pure_Distilled_Water_500ml_April_2019_SSG_01.jpg/960px-HK_Soft_drink_pre-packed_plastic_bottles_%E7%B6%AD%E4%BB%96_Vita_Pure_Distilled_Water_500ml_April_2019_SSG_01.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Gariuyn Loiur,Own work,HK Soft drink pre-packed plastic bottles 維他 Vita Pure Distilled Water 500ml April 2019,900,1200
